행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
경기 성남시,미사1동,음식,16,2.8125,4.705,2.833213344056216,3.404027334411894,6.088051940718934,4.072649258139085
서울 노원구,상계1동,힐링,2,4.0,8.844999999999999,1.0986122886681098,3.9368464685002196,7.470188299222187,4.0724344214251955
경기 고양시,백석1동,문화,3,3.6666666666666665,6.463333333333334,1.3862943611198906,3.892234731904971,7.1954174278306535,4.071590557384145
경기 구리시,갈매동,힐링,3,3.0,7.109999999999999,1.3862943611198906,3.7969966366668757,7.287798380211606,4.071310843746598
경기 이천시,신둔면,액티비티,9,2.4444444444444446,5.263333333333334,2.302585092994046,3.4347010877779405,6.632732073497916,4.070090032943066
경기 성남시,태평2동,힐링,2,5.0,7.779999999999999,1.0986122886681098,4.03684646850022,7.363688299222187,4.069640651218971
경기 용인시,죽전2동,문화,3,3.6666666666666665,6.41,1.3862943611198906,3.892234731904971,7.187798380211606,4.069114391348537
서울 구로구,오류2동,문화,2,4.5,8.225,1.0986122886681098,3.9868464685002194,7.408188299222187,4.068193814390564
경기 고양시,성사2동,액티비티,3,3.6666666666666665,6.363333333333332,1.3862943611198906,3.892234731904971,7.18113171354494,4.066947746067379
경기 의정부시,신곡2동,문화,11,2.909090909090909,4.666363636363636,2.4849066497880004,3.542652736896703,6.311853999463577,4.065210017996332
경기 남양주시,비전2동,음식,3,3.3333333333333335,6.6433333333333335,1.3862943611198906,3.844615684285923,7.22113171354494,4.064796004344673
경기 남양주시,오남읍,음식,31,2.774193548387097,4.551290322580646,3.4657359027997265,3.198712844285804,5.567423795600893,4.06381529287493
